date,open,high,close,low,volume,amount,ema,rise
2015-12-28,14.67,14.74,13.98,13.97,44834709.0,642176345.0,13.98,0.0
2015-12-29,13.97,14.13,14.09,13.87,27445648.0,384965211.0,14.09,0.00786838340486
2015-12-30,14.14,14.24,14.13,13.94,29944669.0,422901003.0,13.7033333333,0.0028388928318
2015-12-31,14.12,14.21,13.99,13.95,24676926.0,348655930.0,13.27,-0.00990799716914
2016-01-04,14.05,14.08,12.63,12.6,33810031.0,455642979.0,12.624,-0.0972122944961
2016-01-05,12.18,13.03,12.81,12.05,46693828.0,591201241.0,12.6233333333,0.0142517814727
2016-01-06,12.82,13.78,13.56,12.68,52595229.0,701363469.0,12.9814285714,0.0585480093677
2016-01-07,13.35,13.37,12.32,12.27,14610372.0,187748849.0,12.5975,-0.0914454277286
2016-01-08,12.75,13.22,12.87,11.87,51803195.0,665222996.0,12.7922222222,0.0446428571429
2016-01-11,12.58,13.27,12.67,12.47,53155821.0,687643466.0,12.67,-0.01554001554
2016-01-12,12.82,12.92,12.56,12.38,38059459.0,481142426.0,12.5354545455,-0.008681925809
2016-01-13,12.59,12.84,12.43,12.35,37210613.0,469188498.0,13.7216666667,-0.0103503184713
2016-01-14,11.98,12.84,12.82,11.98,38337245.0,480965078.0,13.8946153846,0.0313757039421
2016-01-15,12.65,12.85,12.2,12.07,32127982.0,401094932.0,13.4885714286,-0.0483619344774
2016-01-18,11.97,12.4,12.21,11.87,22745447.0,277608897.0,13.1286666667,0.000819672131148
2016-01-19,12.23,12.55,12.53,12.14,32004746.0,397752522.0,12.61225,0.026208026208
2016-01-20,12.45,12.94,12.47,12.35,42016192.0,530820305.0,12.6052941176,-0.0047885075818
2016-01-21,12.23,12.51,11.98,11.97,31253918.0,383302895.0,12.8701587302,-0.0392943063352
2016-01-22,12.13,12.24,12.13,11.85,20808538.0,251744265.0,12.5482894737,0.0125208681135
2016-01-25,12.18,12.52,12.41,12.13,22248952.0,274921514.0,12.754,0.0230832646331
2016-01-26,12.31,12.71,11.67,11.49,50381433.0,621307524.0,12.5747619048,-0.0596293311845
2016-01-27,11.82,12.26,12.08,11.49,51163755.0,611379999.0,12.4940495868,0.0351328191945
2016-01-28,11.96,11.96,11.12,11.09,39224486.0,452001728.0,13.4954347826,-0.0794701986755
2016-01-29,11.08,11.6,11.44,11.0,33707270.0,382757046.0,13.6900641026,0.0287769784173
2016-02-01,11.46,11.65,11.14,11.0,25928635.0,294576226.0,13.3006857143,-0.0262237762238
2016-02-02,11.03,11.51,11.41,11.03,23909567.0,271982299.0,12.9964615385,0.024236983842
2016-02-03,11.24,11.36,11.29,11.1,19538725.0,219455175.0,12.5143055556,-0.0105170902717
2016-02-04,11.41,11.9,11.64,11.41,39196731.0,458683810.0,12.5363445378,0.0310008857396
2016-02-05,11.67,11.79,11.37,11.28,24644290.0,285388044.0,12.7666995074,-0.0231958762887
2016-02-15,11.03,11.82,11.68,10.98,30842637.0,354855401.0,12.4904035088,0.0272647317502
2016-02-16,11.66,12.1,11.95,11.61,39624736.0,472426718.0,12.7021290323,0.0231164383562
2016-02-17,11.92,12.04,11.96,11.71,38178115.0,454442752.0,12.5363392857,0.000836820083682
2016-02-18,12.06,12.21,11.89,11.87,45497779.0,548778959.0,12.4574405209,-0.00585284280936
2016-02-19,11.92,11.93,11.79,11.69,24509809.0,289811638.0,13.3951150895,-0.00841042893188
2016-02-22,11.97,12.72,12.51,11.97,81100681.0,1010684564.0,13.6226318681,0.0610687022901
2016-02-23,12.37,12.76,12.43,12.31,59074129.0,740714057.0,13.2523142857,-0.00639488409273
2016-02-24,12.37,12.44,12.43,12.18,36387763.0,449389999.0,12.9658419958,0.0
2016-02-25,12.42,12.45,11.28,11.19,57694348.0,681071182.0,12.4493421053,-0.0925181013677
2016-02-26,11.3,11.77,11.58,11.24,44226740.0,509088705.0,12.4873012282,0.0265957446809
2016-02-29,11.48,11.53,11.11,10.8,38712448.0,428465874.0,12.683864532,-0.0405872193437
2016-03-01,11.16,11.51,11.44,11.1,33692148.0,382845365.0,12.4391643132,0.029702970297
2016-03-02,11.46,12.58,12.58,11.35,90271168.0,1096384967.0,12.6963133641,0.0996503496503
2016-03-03,12.66,13.11,12.4,12.35,105530358.0,1345301969.0,12.5299979236,-0.0143084260731
